model,ticker,horizon,order_p,order_q,n_test,AIC,BIC,RMSE,MAE,ME,MAPE,SMAPE,DA,group
ARIMAX,HDFCBANK.NS,1,0,0.0,29,-163.63,-136.4,0.057343,0.040676,0.017082,251.810233,120.10434,0.689655,
ARIMAX,HDFCBANK.NS,3,0,0.0,27,-163.63,-136.4,0.061071,0.043443,0.018369,143.884318,127.83704,0.592593,
ARIMAX,HDFCBANK.NS,6,0,0.0,24,-163.63,-136.4,0.065788,0.041914,0.023118,207.777852,123.976979,0.666667,
ARIMAX,HDFCBANK.NS,12,0,0.0,18,-163.63,-136.4,0.062567,0.046241,0.022027,214.917736,143.841754,0.555556,
ARIMAX,BHARTIARTL.NS,1,0,2.0,29,-181.79,-148.28,0.050729,0.043333,0.001222,163.48683,135.823479,0.655172,
ARIMAX,BHARTIARTL.NS,3,0,2.0,27,-181.79,-148.28,0.043144,0.036192,0.002227,166.034604,124.615537,0.62963,
ARIMAX,BHARTIARTL.NS,6,0,2.0,24,-181.79,-148.28,0.059644,0.050584,0.008888,241.566854,148.960341,0.583333,
ARIMAX,BHARTIARTL.NS,12,0,2.0,18,-181.79,-148.28,0.065601,0.055912,0.018897,230.205178,154.602494,0.388889,
ARIMAX,APOLLOHOSP.NS,1,0,0.0,29,-171.78,-144.55,0.028169,0.021861,-0.00389,51.451185,71.840373,0.827586,
ARIMAX,APOLLOHOSP.NS,3,0,0.0,27,-171.78,-144.55,0.076695,0.063744,-0.006753,154.140233,154.517707,0.407407,
ARIMAX,APOLLOHOSP.NS,6,0,0.0,24,-171.78,-144.55,0.078396,0.068909,-0.010156,166.138709,169.181511,0.291667,
ARIMAX,APOLLOHOSP.NS,12,0,0.0,18,-171.78,-144.55,0.064872,0.046948,-0.00393,114.407557,111.835689,0.666667,
ARIMAX,BIOCON.NS,1,1,0.0,29,-215.03,-183.62,0.040447,0.031704,-0.006942,274.667913,72.080856,0.896552,
ARIMAX,BIOCON.NS,3,1,0.0,27,-215.03,-183.62,0.115449,0.094796,-0.011966,419.452238,151.016162,0.481481,
ARIMAX,BIOCON.NS,6,1,0.0,24,-215.03,-183.62,0.116854,0.096406,0.004162,701.659006,145.965975,0.5,
ARIMAX,BIOCON.NS,12,1,0.0,18,-215.03,-183.62,0.072142,0.059226,0.010124,210.978019,109.077337,0.611111,
ARIMAX,JSWENERGY.NS,1,0,0.0,29,-77.53,-50.3,0.098243,0.082719,-0.005688,217.79181,139.918409,0.482759,
ARIMAX,JSWENERGY.NS,3,0,0.0,27,-77.53,-50.3,0.158605,0.115054,-0.000667,272.061957,148.717817,0.444444,
ARIMAX,JSWENERGY.NS,6,0,0.0,24,-77.53,-50.3,0.153187,0.115569,0.016142,255.662907,156.659941,0.416667,
ARIMAX,JSWENERGY.NS,12,0,0.0,18,-77.53,-50.3,0.144949,0.110678,0.02344,351.854343,147.707521,0.444444,
ARIMAX,SUDARSCHEM.NS,1,0,0.0,29,-177.56,-150.33,0.057947,0.049819,-0.021974,78.515538,78.873448,0.896552,
ARIMAX,SUDARSCHEM.NS,3,0,0.0,27,-177.56,-150.33,0.142635,0.114284,-0.022746,163.353662,121.178738,0.666667,
ARIMAX,SUDARSCHEM.NS,6,0,0.0,24,-177.56,-150.33,0.17657,0.143782,-0.006818,184.281406,162.455201,0.416667,
ARIMAX,SUDARSCHEM.NS,12,0,0.0,18,-177.56,-150.33,0.12763,0.105589,0.038425,133.517292,117.187862,0.666667,
ARIMAX,AEGISLOG.NS,1,0,0.0,29,-105.29,-75.97,0.115363,0.080335,0.022233,138.309928,101.472197,0.724138,
ARIMAX,AEGISLOG.NS,3,0,0.0,27,-105.29,-75.97,0.162126,0.130691,0.024627,218.203408,146.316445,0.481481,
ARIMAX,AEGISLOG.NS,6,0,0.0,24,-105.29,-75.97,0.165937,0.130105,0.051756,312.77543,153.850204,0.375,
ARIMAX,AEGISLOG.NS,12,0,0.0,18,-105.29,-75.97,0.168554,0.139388,0.059492,316.081859,161.62469,0.444444,
ARIMAX,KPRMILL.NS,1,0,0.0,29,-141.62,-112.29,0.068648,0.057607,-0.004263,139.739868,142.721647,0.689655,
ARIMAX,KPRMILL.NS,3,0,0.0,27,-141.62,-112.29,0.097415,0.080354,-0.004709,692.661363,165.440259,0.481481,
ARIMAX,KPRMILL.NS,6,0,0.0,24,-141.62,-112.29,0.100116,0.080055,-0.001278,365.318166,168.189956,0.5,
ARIMAX,KPRMILL.NS,12,0,0.0,18,-141.62,-112.29,0.099995,0.079394,0.011138,105.619319,156.667194,0.444444,
ARIMAX,GREENLAM.NS,1,0,0.0,29,-96.94,-69.71,0.111547,0.09187,0.034647,442.925786,154.516553,0.551724,
ARIMAX,GREENLAM.NS,3,0,0.0,27,-96.94,-69.71,0.106608,0.086685,0.03117,340.468157,151.95284,0.518519,
ARIMAX,GREENLAM.NS,6,0,0.0,24,-96.94,-69.71,0.111827,0.093867,0.036884,299.666258,171.572168,0.375,
ARIMAX,GREENLAM.NS,12,0,0.0,18,-96.94,-69.71,0.126377,0.093255,0.044992,353.627497,147.483069,0.555556,
ARIMAX,CAMLINFINE.NS,1,0,0.0,29,-178.87,-149.55,165.32599,32.697224,-32.634281,8110.735101,87.658232,0.896552,
ARIMAX,CAMLINFINE.NS,3,0,0.0,27,-178.87,-149.55,171.416841,35.275058,-35.072286,139441.076857,169.575473,0.333333,
ARIMAX,CAMLINFINE.NS,6,0,0.0,24,-178.87,-149.55,10.598517,2.628034,-2.401637,11100.31891,171.754105,0.375,
ARIMAX,CAMLINFINE.NS,12,0,0.0,18,-178.87,-149.55,1.676365,0.532981,-0.31899,904.484682,133.9918,0.777778,
ARIMAX,SURYAROSNI.NS,1,0,0.0,29,-117.57,-88.24,0.092279,0.071202,0.04372,78.367215,106.272877,0.827586,
ARIMAX,SURYAROSNI.NS,3,0,0.0,27,-117.57,-88.24,0.149198,0.123463,0.025466,155.146316,151.815982,0.518519,
ARIMAX,SURYAROSNI.NS,6,0,0.0,24,-117.57,-88.24,0.173165,0.146471,0.026521,176.847227,166.837102,0.416667,
ARIMAX,SURYAROSNI.NS,12,0,0.0,18,-117.57,-88.24,0.125513,0.108976,0.036954,126.964037,148.382851,0.555556,
ARIMAX,EIDPARRY.NS,1,0,0.0,29,-127.95,-98.63,0.077905,0.066652,0.015447,125.130303,118.719793,0.827586,
ARIMAX,EIDPARRY.NS,3,0,0.0,27,-127.95,-98.63,0.103558,0.087563,0.011703,134.26249,138.5396,0.666667,
ARIMAX,EIDPARRY.NS,6,0,0.0,24,-127.95,-98.63,0.110011,0.089728,0.022427,125.415349,142.620004,0.416667,
ARIMAX,EIDPARRY.NS,12,0,0.0,18,-127.95,-98.63,0.100176,0.084705,0.03743,97.218346,134.37614,0.555556,
ARIMAX,BANDHANBNK.NS,1,0,2.0,29,-104.88,-71.37,0.086006,0.068729,-0.003736,200325605.001936,142.241872,0.62069,
