model,ticker,horizon,pi_lower_offset,pi_upper_offset,empirical_coverage_90pct
ARIMAX,HDFCBANK.NS,1,-0.071458,0.081639,0.8571
ARIMAX,HDFCBANK.NS,3,-0.072495,0.086217,0.8462
ARIMAX,HDFCBANK.NS,6,-0.080371,0.083348,0.8261
ARIMAX,HDFCBANK.NS,12,-0.091675,0.065479,0.8824
ARIMAX,BHARTIARTL.NS,1,-0.073277,0.080451,0.8571
VARX,BHARTIARTL.NS,1,-0.096064,0.085513,0.8571
ARIMAX,BHARTIARTL.NS,3,-0.083859,0.073226,0.8462
VARX,BHARTIARTL.NS,3,-0.093423,0.058498,0.8462
ARIMAX,BHARTIARTL.NS,6,-0.092481,0.063579,0.8261
VARX,BHARTIARTL.NS,6,-0.096339,0.057969,0.8261
ARIMAX,BHARTIARTL.NS,12,-0.084012,0.074207,0.8824
VARX,BHARTIARTL.NS,12,-0.086226,0.068599,0.8824
ARIMAX,APOLLOHOSP.NS,1,-0.142509,0.100614,0.8571
ARIMAX,APOLLOHOSP.NS,3,-0.118194,0.087379,0.8462
ARIMAX,APOLLOHOSP.NS,6,-0.152835,0.071716,0.8261
ARIMAX,APOLLOHOSP.NS,12,-0.122474,0.115607,0.8824
ARIMAX,BIOCON.NS,1,-0.17321,0.150882,0.8571
ARIMAX,BIOCON.NS,3,-0.202382,0.12592,0.8462
ARIMAX,BIOCON.NS,6,-0.212779,0.102832,0.8261
ARIMAX,BIOCON.NS,12,-0.185422,0.114511,0.8824
ARIMAX,JSWENERGY.NS,1,-0.125528,0.33712,0.8571
ARIMAX,JSWENERGY.NS,3,-0.133619,0.34247,0.8462
ARIMAX,JSWENERGY.NS,6,-0.129835,0.277194,0.8261
ARIMAX,JSWENERGY.NS,12,-0.151838,0.366234,0.8824
ARIMAX,SUDARSCHEM.NS,1,-0.216421,0.331166,0.8571
VARX,SUDARSCHEM.NS,1,-0.183848,0.207272,0.8571
ARIMAX,SUDARSCHEM.NS,3,-0.206892,0.309007,0.8462
VARX,SUDARSCHEM.NS,3,-0.197331,0.149772,0.8462
ARIMAX,SUDARSCHEM.NS,6,-0.155985,0.146843,0.8261
VARX,SUDARSCHEM.NS,6,-0.200083,0.123872,0.8261
ARIMAX,SUDARSCHEM.NS,12,-0.135482,0.252567,0.8824
VARX,SUDARSCHEM.NS,12,-0.191101,0.170669,0.8824
ARIMAX,AEGISLOG.NS,1,-0.214839,0.243602,0.8571
VARX,AEGISLOG.NS,1,-0.137369,0.226765,0.8571
ARIMAX,AEGISLOG.NS,3,-0.218793,0.237071,0.8462
VARX,AEGISLOG.NS,3,-0.119199,0.168944,0.8462
ARIMAX,AEGISLOG.NS,6,-0.220473,0.231292,0.8261
VARX,AEGISLOG.NS,6,-0.165774,0.248604,0.8261
ARIMAX,AEGISLOG.NS,12,-0.237819,0.137295,0.8824
VARX,AEGISLOG.NS,12,-0.133643,0.179975,0.8824
ARIMAX,KPRMILL.NS,1,-0.128601,0.146443,0.8571
ARIMAX,KPRMILL.NS,3,-0.129627,0.145397,0.8462
ARIMAX,KPRMILL.NS,6,-0.123157,0.146448,0.8261
ARIMAX,KPRMILL.NS,12,-0.12177,0.135818,0.8824
ARIMAX,GREENLAM.NS,1,-0.18235,0.166485,0.8571
ARIMAX,GREENLAM.NS,3,-0.175011,0.10973,0.8462
ARIMAX,GREENLAM.NS,6,-0.1763,0.116445,0.8261
ARIMAX,GREENLAM.NS,12,-0.181641,0.153814,0.8824
ARIMAX,CAMLINFINE.NS,1,-0.243402,0.345444,0.8571
ARIMAX,CAMLINFINE.NS,3,-0.26221,0.355836,0.8462
ARIMAX,CAMLINFINE.NS,6,-0.336318,0.216108,0.8261
ARIMAX,CAMLINFINE.NS,12,-0.429335,0.372083,0.8824
ARIMAX,SURYAROSNI.NS,1,-0.116496,0.274031,0.8571
ARIMAX,SURYAROSNI.NS,3,-0.113142,0.276351,0.8462
ARIMAX,SURYAROSNI.NS,6,-0.119574,0.326409,0.8261
ARIMAX,SURYAROSNI.NS,12,-0.142668,0.283771,0.8824
ARIMAX,EIDPARRY.NS,1,-0.139392,0.160554,0.8571
ARIMAX,EIDPARRY.NS,3,-0.122002,0.150408,0.8462
ARIMAX,EIDPARRY.NS,6,-0.109536,0.116098,0.8261
ARIMAX,EIDPARRY.NS,12,-0.165429,0.153733,0.8824
ARIMAX,BANDHANBNK.NS,1,-0.100799,0.209664,0.8571
ARIMAX,BANDHANBNK.NS,3,-0.104818,0.16024,0.8462
ARIMAX,BANDHANBNK.NS,6,-0.146893,0.160368,0.8261
ARIMAX,BANDHANBNK.NS,12,-0.152288,0.228465,0.8824
ARIMAX,ABREL.NS,1,-0.209268,0.177797,0.8571
ARIMAX,ABREL.NS,3,-0.246217,0.108733,0.8462
ARIMAX,ABREL.NS,6,-0.31117,0.124199,0.8261
ARIMAX,ABREL.NS,12,-0.387124,0.135918,0.8824
ARIMAX,INDIGO.NS,1,-0.14834,0.139937,0.8571
ARIMAX,INDIGO.NS,3,-0.161575,0.115249,0.8462
ARIMAX,INDIGO.NS,6,-0.190081,0.098295,0.8261
ARIMAX,INDIGO.NS,12,-0.183386,0.126753,0.8824
ARIMAX,MARATHON.NS,1,-0.203929,0.265463,0.8571
ARIMAX,MARATHON.NS,3,-0.20646,0.303652,0.8462
ARIMAX,MARATHON.NS,6,-0.210256,0.318958,0.8261
ARIMAX,MARATHON.NS,12,-0.25888,0.316261,0.8824
ARIMAX,LTTS.NS,1,-0.201096,0.133712,0.8571
ARIMAX,LTTS.NS,3,-0.172187,0.135689,0.8462
ARIMAX,LTTS.NS,6,-0.204337,0.091781,0.8261
ARIMAX,LTTS.NS,12,-0.211219,0.056363,0.8824
ARIMAX,ASTERDM.NS,1,-0.184338,0.128534,0.8571
ARIMAX,ASTERDM.NS,3,-0.162543,0.130427,0.8462
ARIMAX,ASTERDM.NS,6,-0.108762,0.109042,0.8261
ARIMAX,ASTERDM.NS,12,-0.139724,0.131592,0.8824
