model,ticker,horizon,mean_forecast,mean_ci90_lower,mean_ci90_upper,mean_ci90_width,mean_ci95_lower,mean_ci95_upper,mean_ci95_width
ARIMAX,ABREL.NS,1,0.02538,-0.10709,0.15785,0.26494,-0.13247,0.18323,0.3157
ARIMAX,ABREL.NS,3,0.03239,-0.09946,0.16423,0.2637,-0.12472,0.18949,0.31421
ARIMAX,ABREL.NS,6,0.04555,-0.08531,0.17641,0.26173,-0.11038,0.20148,0.31187
ARIMAX,ABREL.NS,12,0.08261,-0.04627,0.21149,0.25776,-0.07096,0.23618,0.30714
ARIMAX,AEGISLOG.NS,1,-0.00832,-0.14426,0.12763,0.27189,-0.17031,0.15367,0.32397
ARIMAX,AEGISLOG.NS,3,-0.00895,-0.14464,0.12675,0.27139,-0.17064,0.15274,0.32338
ARIMAX,AEGISLOG.NS,6,-0.00659,-0.1418,0.12863,0.27043,-0.16771,0.15453,0.32224
ARIMAX,AEGISLOG.NS,12,0.00529,-0.12809,0.13867,0.26676,-0.15365,0.16422,0.31787
ARIMAX,APOLLOHOSP.NS,1,0.02213,-0.05026,0.09452,0.14478,-0.06413,0.10838,0.17251
ARIMAX,APOLLOHOSP.NS,3,0.02502,-0.04761,0.09766,0.14527,-0.06152,0.11157,0.1731
ARIMAX,APOLLOHOSP.NS,6,0.02912,-0.04391,0.10215,0.14606,-0.0579,0.11614,0.17404
ARIMAX,APOLLOHOSP.NS,12,0.0381,-0.03583,0.11204,0.14787,-0.05,0.1262,0.1762
ARIMAX,ASTERDM.NS,1,0.02259,-0.08471,0.12989,0.2146,-0.10526,0.15045,0.25571
ARIMAX,ASTERDM.NS,3,0.02609,-0.08107,0.13324,0.21432,-0.1016,0.15377,0.25537
ARIMAX,ASTERDM.NS,6,0.02884,-0.07798,0.13566,0.21364,-0.09844,0.15613,0.25457
ARIMAX,ASTERDM.NS,12,0.02133,-0.08432,0.12698,0.21131,-0.10456,0.14723,0.25179
ARIMAX,BANDHANBNK.NS,1,-0.02723,-0.15421,0.09974,0.25395,-0.17853,0.12407,0.3026
ARIMAX,BANDHANBNK.NS,3,0.00142,-0.15212,0.15495,0.30707,-0.18153,0.18437,0.36589
ARIMAX,BANDHANBNK.NS,6,0.00305,-0.14986,0.15595,0.30581,-0.17915,0.18524,0.36439
ARIMAX,BANDHANBNK.NS,12,0.00735,-0.14381,0.1585,0.30231,-0.17276,0.18746,0.36022
ARIMAX,BHARTIARTL.NS,1,0.016,-0.05526,0.08725,0.1425,-0.06891,0.1009,0.1698
ARIMAX,BHARTIARTL.NS,3,0.01926,-0.07036,0.10888,0.17924,-0.08753,0.12605,0.21358
ARIMAX,BHARTIARTL.NS,6,0.02209,-0.06867,0.11284,0.18151,-0.08606,0.13023,0.21629
ARIMAX,BHARTIARTL.NS,12,0.02524,-0.06842,0.1189,0.18732,-0.08636,0.13684,0.2232
ARIMAX,BIOCON.NS,1,0.03185,-0.01851,0.08221,0.10072,-0.02816,0.09186,0.12002
ARIMAX,BIOCON.NS,3,0.03689,-0.01665,0.09043,0.10708,-0.02691,0.10068,0.12759
ARIMAX,BIOCON.NS,6,0.04181,-0.01191,0.09554,0.10745,-0.02221,0.10583,0.12804
ARIMAX,BIOCON.NS,12,0.03715,-0.01699,0.09128,0.10827,-0.02736,0.10165,0.12902
ARIMAX,CAMLINFINE.NS,1,0.00117,-0.07443,0.07676,0.15119,-0.08891,0.09124,0.18016
ARIMAX,CAMLINFINE.NS,3,0.00524,-0.06978,0.08026,0.15004,-0.08415,0.09463,0.17879
ARIMAX,CAMLINFINE.NS,6,0.01384,-0.06033,0.08801,0.14834,-0.07453,0.10222,0.17676
ARIMAX,CAMLINFINE.NS,12,0.04527,-0.02762,0.11816,0.14578,-0.04158,0.13212,0.17371
ARIMAX,EIDPARRY.NS,1,0.00128,-0.10708,0.10964,0.21672,-0.12783,0.1304,0.25823
ARIMAX,EIDPARRY.NS,3,0.00475,-0.10345,0.11294,0.21639,-0.12418,0.13367,0.25785
ARIMAX,EIDPARRY.NS,6,0.00922,-0.09867,0.11712,0.21579,-0.11934,0.13779,0.25712
ARIMAX,EIDPARRY.NS,12,0.01324,-0.09398,0.12046,0.21445,-0.11452,0.141,0.25553
ARIMAX,GREENLAM.NS,1,0.0136,-0.13469,0.16189,0.29658,-0.1631,0.19029,0.35339
ARIMAX,GREENLAM.NS,3,0.01183,-0.13617,0.15983,0.296,-0.16452,0.18818,0.3527
ARIMAX,GREENLAM.NS,6,0.00848,-0.13885,0.15581,0.29467,-0.16708,0.18404,0.35112
ARIMAX,GREENLAM.NS,12,-0.00302,-0.14819,0.14215,0.29033,-0.176,0.16996,0.34596
ARIMAX,HDFCBANK.NS,1,-0.00564,-0.08452,0.07324,0.15776,-0.09963,0.08835,0.18799
ARIMAX,HDFCBANK.NS,3,-0.00613,-0.08514,0.07289,0.15803,-0.10028,0.08802,0.1883
ARIMAX,HDFCBANK.NS,6,-0.00699,-0.08626,0.07227,0.15853,-0.10144,0.08746,0.1889
ARIMAX,HDFCBANK.NS,12,-0.01048,-0.09052,0.06957,0.16009,-0.10586,0.0849,0.19076
ARIMAX,INDIGO.NS,1,0.00023,-0.08359,0.08404,0.16763,-0.09964,0.1001,0.19974
ARIMAX,INDIGO.NS,3,0.00644,-0.07743,0.09032,0.16775,-0.0935,0.10638,0.19988
ARIMAX,INDIGO.NS,6,0.01391,-0.07007,0.09789,0.16796,-0.08616,0.11397,0.20013
ARIMAX,INDIGO.NS,12,0.0139,-0.07035,0.09814,0.16849,-0.08649,0.11428,0.20077
ARIMAX,JSWENERGY.NS,1,-0.05,-0.21333,0.11332,0.32665,-0.24462,0.14461,0.38923
ARIMAX,JSWENERGY.NS,3,-0.05967,-0.22329,0.10394,0.32724,-0.25464,0.13529,0.38993
ARIMAX,JSWENERGY.NS,6,-0.07182,-0.2359,0.09227,0.32817,-0.26733,0.1237,0.39103
ARIMAX,JSWENERGY.NS,12,-0.06538,-0.23045,0.09969,0.33014,-0.26208,0.13131,0.39339
ARIMAX,KPRMILL.NS,1,-0.01543,-0.11324,0.08239,0.19562,-0.13198,0.10112,0.2331
ARIMAX,KPRMILL.NS,3,-0.01465,-0.11226,0.08297,0.19522,-0.13096,0.10167,0.23262
ARIMAX,KPRMILL.NS,6,-0.01422,-0.11155,0.08311,0.19465,-0.13019,0.10175,0.23194
ARIMAX,KPRMILL.NS,12,-0.01774,-0.11479,0.07932,0.1941,-0.13338,0.09791,0.23129
ARIMAX,LTTS.NS,1,0.00593,-0.08092,0.09279,0.17371,-0.09756,0.10943,0.20699
ARIMAX,LTTS.NS,3,0.01905,-0.06794,0.10605,0.17399,-0.08461,0.12271,0.20732
ARIMAX,LTTS.NS,6,0.03571,-0.05144,0.12286,0.17431,-0.06814,0.13956,0.2077
ARIMAX,LTTS.NS,12,0.04354,-0.04352,0.13059,0.17411,-0.0602,0.14727,0.20747
ARIMAX,MARATHON.NS,1,-0.00714,-0.23008,0.21579,0.44586,-0.27278,0.2585,0.53128
ARIMAX,MARATHON.NS,3,-0.00236,-0.22536,0.22065,0.446,-0.26808,0.26337,0.53145
ARIMAX,MARATHON.NS,6,0.0019,-0.22091,0.2247,0.44561,-0.26359,0.26739,0.53098
ARIMAX,MARATHON.NS,12,-0.01179,-0.23291,0.20932,0.44223,-0.27527,0.25168,0.52695
ARIMAX,SUDARSCHEM.NS,1,-0.0222,-0.09471,0.05032,0.14503,-0.10861,0.06421,0.17281
ARIMAX,SUDARSCHEM.NS,3,-0.0241,-0.09659,0.04839,0.14499,-0.11048,0.06228,0.17276
ARIMAX,SUDARSCHEM.NS,6,-0.03161,-0.10408,0.04087,0.14495,-0.11797,0.05476,0.17272
ARIMAX,SUDARSCHEM.NS,12,-0.05953,-0.13205,0.013,0.14505,-0.14595,0.02689,0.17284
ARIMAX,SURYAROSNI.NS,1,-0.05495,-0.17881,0.06891,0.24772,-0.20254,0.09264,0.29518
ARIMAX,SURYAROSNI.NS,3,-0.05337,-0.17725,0.07052,0.24777,-0.20098,0.09425,0.29523
ARIMAX,SURYAROSNI.NS,6,-0.05116,-0.17496,0.07264,0.2476,-0.19868,0.09636,0.29504
ARIMAX,SURYAROSNI.NS,12,-0.04917,-0.17211,0.07377,0.24587,-0.19566,0.09732,0.29298
VARX,AEGISLOG.NS,1,-0.01379,-0.13088,0.10331,0.23419,-0.15332,0.12574,0.27905
VARX,AEGISLOG.NS,3,-0.01153,-0.1292,0.10615,0.23536,-0.15175,0.1287,0.28044
VARX,AEGISLOG.NS,6,-0.01391,-0.13104,0.10322,0.23425,-0.15347,0.12566,0.27913
VARX,AEGISLOG.NS,12,0.01044,-0.10499,0.12587,0.23085,-0.1271,0.14798,0.27508
VARX,BHARTIARTL.NS,1,0.02081,-0.07232,0.11395,0.18627,-0.09016,0.13179,0.22195
VARX,BHARTIARTL.NS,3,0.02967,-0.0645,0.12383,0.18833,-0.08254,0.14187,0.22441
VARX,BHARTIARTL.NS,6,0.0327,-0.06146,0.12687,0.18833,-0.0795,0.14491,0.22441
VARX,BHARTIARTL.NS,12,0.03369,-0.06052,0.1279,0.18843,-0.07857,0.14595,0.22452
VARX,SUDARSCHEM.NS,1,0.01655,-0.10722,0.14032,0.24754,-0.13093,0.16403,0.29496
VARX,SUDARSCHEM.NS,3,0.02065,-0.10369,0.14498,0.24867,-0.1275,0.1688,0.2963
VARX,SUDARSCHEM.NS,6,0.02575,-0.09763,0.14913,0.24676,-0.12127,0.17277,0.29404
VARX,SUDARSCHEM.NS,12,0.01926,-0.10212,0.14063,0.24274,-0.12537,0.16388,0.28924
